-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                           aten::linear         0.02%       1.534ms         5.71%     416.668ms     626.569us       0.000us         0.00%        3.409s       5.126ms           0 b           0 b     318.75 Gb           0 b           665  
                                    Command Buffer Full        33.84%        2.471s        33.84%        2.471s       1.230ms        3.346s        45.90%        3.346s       1.665ms           0 b           0 b           0 b           0 b          2009  
                                           aten::matmul         0.03%       2.057ms         4.97%     362.728ms     562.370us       0.000us         0.00%        3.275s       5.077ms           0 b           0 b     312.66 Gb           0 b           645  
                                               aten::mm         0.13%       9.785ms         4.91%     358.458ms     555.749us        2.065s        28.34%        3.275s       5.077ms           0 b           0 b     312.66 Gb     312.66 Gb           645  
                                          forward_run_4         0.01%     872.855us         7.31%     533.854ms     533.854ms       0.000us         0.00%        2.074s        2.074s           0 b           0 b           0 b      -8.78 Gb             1  
                                          forward_run_1         0.01%     888.235us         7.31%     534.068ms     534.068ms       0.000us         0.00%        2.069s        2.069s           0 b           0 b           0 b      -8.78 Gb             1  
                                          forward_run_0         0.01%     911.094us         7.34%     536.399ms     536.399ms       0.000us         0.00%        2.066s        2.066s           0 b           0 b           0 b      -8.78 Gb             1  
                                          forward_run_2         0.01%     914.851us         7.29%     532.643ms     532.643ms       0.000us         0.00%        2.060s        2.060s           0 b           0 b           0 b      -8.78 Gb             1  
                                          forward_run_3         0.01%     878.046us         7.34%     536.289ms     536.289ms       0.000us         0.00%        2.053s        2.053s           0 b           0 b           0 b      -8.78 Gb             1  
                                       cudaLaunchKernel         0.29%      20.926ms        24.80%        1.811s     308.337us       0.000us         0.00%        1.838s     312.813us           0 b           0 b           0 b           0 b          5875  
