-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                                    Command Buffer Full        46.91%        7.811s        46.91%        7.811s       2.005ms       17.262s       103.76%       17.262s       4.432ms           0 b           0 b           0 b           0 b          3895
                                       cudaLaunchKernel         0.17%      27.509ms        34.87%        5.807s     779.414us       0.000us         0.00%       11.737s       1.575ms           0 b           0 b           0 b           0 b          7450
                                           aten::linear         0.01%       1.440ms         6.36%        1.058s       1.592ms       0.000us         0.00%        7.994s      12.022ms           0 b           0 b     637.50 Gb           0 b           665
                                           aten::matmul         0.01%       2.048ms         5.96%     992.974ms       1.539ms       0.000us         0.00%        7.718s      11.965ms           0 b           0 b     625.31 Gb           0 b           645
                                               aten::mm         0.07%      10.865ms         5.94%     988.649ms       1.533ms        4.149s        24.94%        7.718s      11.965ms           0 b           0 b     625.31 Gb     625.31 Gb           645
                                              aten::mul         0.05%       8.683ms         6.24%        1.038s     769.170us        2.255s        13.55%        6.674s       4.944ms           0 b           0 b    2205.04 Gb    2205.04 Gb          1350
                                          forward_run_4         0.01%     845.639us         9.63%        1.603s        1.603s       0.000us         0.00%        6.674s        6.674s           0 b           0 b           0 b     -17.56 Gb             1
                                          forward_run_3         0.01%     876.883us         9.66%        1.608s        1.608s       0.000us         0.00%        6.663s        6.663s           0 b           0 b           0 b     -17.56 Gb             1
                                          forward_run_1         0.01%     889.890us         9.63%        1.604s        1.604s       0.000us         0.00%        6.660s        6.660s           0 b           0 b           0 b     -17.56 Gb             1
                                          forward_run_2         0.01%     903.582us         9.63%        1.604s        1.604s       0.000us         0.00%        6.636s        6.636s           0 b           0 b           0 b     -17.56 Gb             1
                                          forward_run_0         0.01%     925.830us         9.66%        1.609s        1.609s       0.000us         0.00%        6.633s        6.633s           0 b           0 b           0 b     -17.56 Gb             1
