-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                                    Command Buffer Full        49.09%       16.142s        49.09%       16.142s       3.366ms       32.755s        99.67%       32.755s       6.831ms           0 b           0 b           0 b           0 b          4795
                                       cudaLaunchKernel         0.10%      32.276ms        42.85%       14.089s       1.718ms       0.000us         0.00%       21.112s       2.575ms           0 b           0 b           0 b           0 b          8200
                                            aten::copy_         0.03%       8.853ms        25.70%        8.450s       6.057ms        4.168s        12.68%       16.828s      12.063ms           0 b           0 b           0 b           0 b          1395
                                           aten::linear         0.01%       1.662ms         2.05%     674.733ms       1.015ms       0.000us         0.00%       16.131s      24.258ms           0 b           0 b    1275.00 Gb           0 b           665
                                           aten::matmul         0.01%       2.500ms         1.87%     615.609ms     954.433us       0.000us         0.00%       15.539s      24.092ms           0 b           0 b    1250.62 Gb           0 b           645
                                               aten::mm         0.04%      11.511ms         1.86%     610.527ms     946.554us        8.409s        25.59%       15.539s      24.092ms           0 b           0 b    1250.62 Gb    1250.62 Gb           645
                                           aten::conv1d         0.00%     456.229us        21.43%        7.046s      52.193ms       0.000us         0.00%       15.479s     114.661ms           0 b           0 b     810.01 Gb           0 b           135
                                      aten::convolution         0.00%     651.555us        21.43%        7.046s      52.190ms       0.000us         0.00%       15.479s     114.661ms           0 b           0 b     810.01 Gb     -48.00 Gb           135
                                     aten::_convolution         0.01%       1.922ms        21.42%        7.045s      52.185ms       0.000us         0.00%       15.479s     114.661ms           0 b           0 b     858.01 Gb    -762.00 Gb           135
                                 FlashAttnQKVPackedFunc         0.00%       1.259ms         0.27%      89.863ms       3.595ms       0.000us         0.00%       14.761s     590.423ms           0 b           0 b      25.00 Gb    -400.01 Mb            25
