-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                           aten::linear         0.02%       1.385ms         6.95%     421.633ms     634.035us       0.000us         0.00%        3.185s       4.790ms           0 b           0 b     318.75 Gb           0 b           665  
                                           aten::matmul         0.03%       1.962ms         6.59%     399.360ms     619.163us       0.000us         0.00%        3.066s       4.753ms           0 b           0 b     312.66 Gb           0 b           645  
                                               aten::mm         0.17%      10.153ms         6.52%     395.363ms     612.967us        2.082s        34.41%        3.066s       4.753ms           0 b           0 b     312.66 Gb     312.66 Gb           645  
                                    Command Buffer Full        24.44%        1.482s        24.44%        1.482s       1.135ms        1.449s        23.95%        1.449s       1.110ms           0 b           0 b           0 b           0 b          1306  
                                          forward_run_3         0.01%     766.227us         5.57%     337.901ms     337.901ms       0.000us         0.00%        1.400s        1.400s           0 b           0 b           0 b      -8.78 Gb             1  
                                          forward_run_4         0.01%     807.358us         5.58%     338.506ms     338.506ms       0.000us         0.00%        1.399s        1.399s           0 b           0 b           0 b      -8.78 Gb             1  
                                          forward_run_2         0.01%     884.063us         5.52%     334.794ms     334.794ms       0.000us         0.00%        1.398s        1.398s           0 b           0 b           0 b      -8.78 Gb             1  
                                          forward_run_0         0.01%     875.081us         5.55%     336.754ms     336.754ms       0.000us         0.00%        1.396s        1.396s           0 b           0 b           0 b      -8.78 Gb             1  
                                          forward_run_1         0.01%     776.844us         5.56%     336.983ms     336.983ms       0.000us         0.00%        1.393s        1.393s           0 b           0 b           0 b      -8.78 Gb             1  
                                          forward_run_3         0.00%       0.000us         0.00%       0.000us       0.000us        1.214s        20.06%        1.214s        1.214s           0 b           0 b           0 b           0 b             1  
                                          forward_run_1         0.00%       0.000us         0.00%       0.000us       0.000us        1.213s        20.05%        1.213s        1.213s           0 b           0 b           0 b           0 b             1  
