-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                           aten::linear         0.02%       1.520ms         4.60%     333.353ms     501.282us       0.000us         0.00%        3.139s       4.720ms           0 b           0 b     318.75 Gb           0 b           665  
                                           aten::matmul         0.03%       1.960ms         4.15%     300.238ms     465.486us       0.000us         0.00%        3.013s       4.671ms           0 b           0 b     312.66 Gb           0 b           645  
                                               aten::mm         0.14%      10.073ms         4.09%     296.043ms     458.982us        2.076s        28.72%        3.013s       4.671ms           0 b           0 b     312.66 Gb     312.66 Gb           645  
                                    Command Buffer Full        33.70%        2.440s        33.70%        2.440s       1.237ms        2.726s        37.71%        2.726s       1.381ms           0 b           0 b           0 b           0 b          1973  
                                          forward_run_2         0.01%     767.439us         7.29%     527.678ms     527.678ms       0.000us         0.00%        1.912s        1.912s           0 b           0 b           0 b      -8.78 Gb             1  
                                          forward_run_0         0.01%     839.061us         7.30%     528.616ms     528.616ms       0.000us         0.00%        1.910s        1.910s           0 b           0 b           0 b      -8.78 Gb             1  
                                          forward_run_4         0.01%     769.941us         7.31%     529.103ms     529.103ms       0.000us         0.00%        1.910s        1.910s           0 b           0 b           0 b      -8.78 Gb             1  
                                          forward_run_3         0.01%     902.012us         7.34%     531.480ms     531.480ms       0.000us         0.00%        1.909s        1.909s           0 b           0 b           0 b      -8.78 Gb             1  
                                          forward_run_1         0.01%     820.749us         7.35%     532.010ms     532.010ms       0.000us         0.00%        1.905s        1.905s           0 b           0 b           0 b      -8.78 Gb             1  
                                              aten::mul         0.10%       6.978ms         5.42%     392.270ms     311.326us        1.044s        14.45%        1.705s       1.354ms           0 b           0 b    1035.02 Gb    1035.02 Gb          1260  
