-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                                    Command Buffer Full        45.69%        7.517s        45.69%        7.517s       1.998ms       15.986s        97.29%       15.986s       4.248ms           0 b           0 b           0 b           0 b          3763
                                       cudaLaunchKernel         0.17%      28.169ms        34.87%        5.737s     798.958us       0.000us         0.00%       10.161s       1.415ms           0 b           0 b           0 b           0 b          7180
                                           aten::linear         0.01%       1.454ms         4.81%     790.633ms       1.189ms       0.000us         0.00%        7.979s      11.998ms           0 b           0 b     637.50 Gb           0 b           665
                                           aten::matmul         0.01%       2.035ms         4.43%     728.792ms       1.130ms       0.000us         0.00%        7.687s      11.918ms           0 b           0 b     625.31 Gb           0 b           645
                                               aten::mm         0.07%      11.502ms         4.40%     724.405ms       1.123ms        4.153s        25.28%        7.687s      11.918ms           0 b           0 b     625.31 Gb     625.31 Gb           645
                                          forward_run_2         0.01%     907.639us         9.43%        1.551s        1.551s       0.000us         0.00%        6.346s        6.346s           0 b           0 b           0 b     -17.56 Gb             1
                                          forward_run_1         0.01%     925.738us         9.43%        1.551s        1.551s       0.000us         0.00%        6.323s        6.323s           0 b           0 b           0 b     -17.56 Gb             1
                                          forward_run_4         0.01%     849.199us         9.43%        1.551s        1.551s       0.000us         0.00%        6.323s        6.323s           0 b           0 b           0 b     -17.56 Gb             1
                                          forward_run_0         0.01%       1.095ms         9.42%        1.550s        1.550s       0.000us         0.00%        6.315s        6.315s           0 b           0 b           0 b     -17.56 Gb             1
                                          forward_run_3         0.01%     949.517us         9.43%        1.552s        1.552s       0.000us         0.00%        6.291s        6.291s           0 b           0 b           0 b     -17.56 Gb             1
                                              aten::mul         0.05%       8.105ms        11.27%        1.855s       1.472ms        2.105s        12.81%        5.679s       4.507ms           0 b           0 b    2070.04 Gb    2070.04 Gb          1260
