-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                    Command Buffer Full        62.85%       22.646s        62.85%       22.646s       2.782ms       74.436s       206.73%       74.436s       9.146ms           0 b           0 b           0 b           0 b          8139  
                                       cudaLaunchKernel         0.15%      52.607ms        55.38%       19.954s       1.653ms       0.000us         0.00%       58.770s       4.869ms           0 b           0 b           0 b           0 b         12070  
                                              aten::mul         0.03%      11.087ms        24.43%        8.802s       6.520ms        4.007s        11.13%       28.912s      21.416ms           0 b           0 b    4410.08 Gb    4410.08 Gb          1350  
                                          forward_run_0         0.00%       1.010ms        12.74%        4.590s        4.590s       0.000us         0.00%       21.878s       21.878s           0 b           0 b           0 b     -35.13 Gb             1  
                                          forward_run_3         0.00%     874.599us        12.75%        4.593s        4.593s       0.000us         0.00%       21.863s       21.863s           0 b           0 b           0 b     -35.13 Gb             1  
                                          forward_run_1         0.00%     855.228us        12.71%        4.578s        4.578s       0.000us         0.00%       21.817s       21.817s           0 b           0 b           0 b     -35.13 Gb             1  
                                          forward_run_2         0.00%     860.426us        12.73%        4.588s        4.588s       0.000us         0.00%       21.817s       21.817s           0 b           0 b           0 b     -35.13 Gb             1  
                                          forward_run_4         0.00%     916.104us        12.70%        4.576s        4.576s       0.000us         0.00%       21.723s       21.723s           0 b           0 b           0 b     -35.13 Gb             1  
                                           aten::linear         0.01%       1.870ms         4.88%        1.759s       2.644ms       0.000us         0.00%       19.889s      29.908ms           0 b           0 b    1275.00 Gb           0 b           665  
                                           aten::matmul         0.01%       2.621ms         4.41%        1.588s       2.462ms       0.000us         0.00%       19.299s      29.921ms           0 b           0 b    1250.62 Gb           0 b           645  
                                               aten::mm         0.03%      11.793ms         4.39%        1.582s       2.453ms        8.604s        23.90%       19.299s      29.921ms           0 b           0 b    1250.62 Gb    1250.62 Gb           645  
