-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                           aten::linear         0.03%       2.369ms        10.44%     737.256ms     708.900us       0.000us         0.00%        6.503s       6.253ms           0 b           0 b     249.38 Gb           0 b          1040  
                                           aten::matmul         0.05%       3.619ms         9.03%     637.697ms     634.524us       0.000us         0.00%        6.358s       6.326ms           0 b           0 b     244.41 Gb           0 b          1005  
                                               aten::mm         0.24%      16.653ms         8.93%     630.556ms     627.419us        3.370s        47.86%        6.358s       6.326ms           0 b           0 b     244.41 Gb     244.41 Gb          1005  
                                    Command Buffer Full        51.62%        3.645s        51.62%        3.645s     797.151us        4.804s        68.23%        4.804s       1.051ms           0 b           0 b           0 b           0 b          4573  
                                          forward_run_0         0.02%       1.369ms        11.15%     787.603ms     787.603ms       0.000us         0.00%        2.334s        2.334s           0 b           0 b           0 b      -6.63 Gb             1  
                                          forward_run_1         0.02%       1.203ms        11.29%     797.515ms     797.515ms       0.000us         0.00%        2.322s        2.322s           0 b           0 b           0 b      -6.63 Gb             1  
                                          forward_run_4         0.02%       1.176ms        11.32%     799.123ms     799.123ms       0.000us         0.00%        2.274s        2.274s           0 b           0 b           0 b      -6.63 Gb             1  
                                          forward_run_3         0.02%       1.327ms        11.27%     796.188ms     796.188ms       0.000us         0.00%        2.271s        2.271s           0 b           0 b           0 b      -6.63 Gb             1  
                                          forward_run_2         0.02%       1.326ms        11.32%     799.494ms     799.494ms       0.000us         0.00%        2.270s        2.270s           0 b           0 b           0 b      -6.63 Gb             1  
              nvjet_tst_192x192_64x4_2x1_v_bz_coopB_TNN         0.00%       0.000us         0.00%       0.000us       0.000us        1.939s        27.54%        1.939s       3.878ms           0 b           0 b           0 b           0 b           500  
