-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                           aten::linear         0.05%       2.931ms        11.21%     713.294ms     685.859us       0.000us         0.00%        6.573s       6.320ms           0 b           0 b     249.38 Gb           0 b          1040  
                                           aten::matmul         0.06%       3.903ms        10.42%     662.776ms     659.479us       0.000us         0.00%        6.398s       6.366ms           0 b           0 b     244.41 Gb           0 b          1005  
                                               aten::mm         0.29%      18.197ms        10.30%     655.250ms     651.990us        3.511s        55.37%        6.398s       6.366ms           0 b           0 b     244.41 Gb     244.41 Gb          1005  
                                    Command Buffer Full        47.27%        3.007s        47.27%        3.007s     794.682us        3.732s        58.87%        3.732s     986.381us           0 b           0 b           0 b           0 b          3784  
              nvjet_tst_192x192_64x4_2x1_v_bz_coopB_TNN         0.00%       0.000us         0.00%       0.000us       0.000us        2.011s        31.72%        2.011s       4.022ms           0 b           0 b           0 b           0 b           500  
                                          forward_run_0         0.02%       1.373ms        10.53%     669.775ms     669.775ms       0.000us         0.00%        1.957s        1.957s           0 b           0 b           0 b      -6.63 Gb             1  
                                          forward_run_1         0.02%       1.302ms        10.64%     676.802ms     676.802ms       0.000us         0.00%        1.923s        1.923s           0 b           0 b           0 b      -6.63 Gb             1  
                                          forward_run_4         0.02%       1.184ms        10.67%     678.704ms     678.704ms       0.000us         0.00%        1.891s        1.891s           0 b           0 b           0 b      -6.63 Gb             1  
                                          forward_run_2         0.02%       1.301ms        10.64%     676.669ms     676.669ms       0.000us         0.00%        1.876s        1.876s           0 b           0 b           0 b      -6.63 Gb             1  
                                          forward_run_3         0.02%       1.342ms        10.60%     674.297ms     674.297ms       0.000us         0.00%        1.872s        1.872s           0 b           0 b           0 b      -6.63 Gb             1  
