-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                           aten::linear         0.12%       1.844ms         4.85%      75.711ms     113.852us       0.000us         0.00%     669.932ms       1.007ms           0 b           0 b      79.69 Gb           0 b           665  
                                           aten::matmul         0.15%       2.387ms         3.13%      48.884ms      75.789us       0.000us         0.00%     644.838ms     999.749us           0 b           0 b      78.16 Gb           0 b           645  
                                               aten::mm         0.72%      11.224ms         2.84%      44.304ms      68.688us     519.980ms        33.67%     644.838ms     999.749us           0 b           0 b      78.16 Gb      78.16 Gb           645  
                                          forward_run_0         0.06%     923.222us         6.28%      97.947ms      97.947ms       0.000us         0.00%     353.797ms     353.797ms           0 b           0 b           0 b      -2.20 Gb             1  
                                          forward_run_1         0.09%       1.333ms         6.13%      95.549ms      95.549ms       0.000us         0.00%     347.657ms     347.657ms           0 b           0 b           0 b      -2.20 Gb             1  
                                          forward_run_3         0.05%     842.162us         6.17%      96.197ms      96.197ms       0.000us         0.00%     346.008ms     346.008ms           0 b           0 b           0 b      -2.20 Gb             1  
                                          forward_run_4         0.06%     885.218us         6.16%      96.033ms      96.033ms       0.000us         0.00%     345.354ms     345.354ms           0 b           0 b           0 b      -2.20 Gb             1  
                                          forward_run_2         0.07%       1.041ms         6.12%      95.510ms      95.510ms       0.000us         0.00%     341.942ms     341.942ms           0 b           0 b           0 b      -2.20 Gb             1  
                                          forward_run_3         0.00%       0.000us         0.00%       0.000us       0.000us     312.657ms        20.25%     312.657ms     312.657ms           0 b           0 b           0 b           0 b             1  
                                          forward_run_2         0.00%       0.000us         0.00%       0.000us       0.000us     311.940ms        20.20%     311.940ms     311.940ms           0 b           0 b           0 b           0 b             1  
                                          forward_run_4         0.00%       0.000us         0.00%       0.000us       0.000us     311.935ms        20.20%     311.935ms     311.935ms           0 b           0 b           0 b           0 b             1  
