-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                           aten::linear         0.00%     710.711us         5.73%        1.315s       1.978ms       0.000us         0.00%       13.476s      20.264ms           0 b           0 b     318.75 Gb           0 b           665  
                                           aten::matmul         0.00%     929.833us         3.68%     843.805ms       1.308ms       0.000us         0.00%       13.159s      20.401ms           0 b           0 b     312.66 Gb           0 b           645  
                                               aten::mm         0.04%       9.716ms         3.67%     841.716ms       1.305ms        9.625s        41.95%       13.159s      20.401ms           0 b           0 b     312.66 Gb     312.66 Gb           645  
                                    Command Buffer Full        34.88%        8.004s        34.88%        8.004s       3.573ms        9.930s        43.29%        9.930s       4.433ms           0 b           0 b           0 b           0 b          2240  
                                       cudaLaunchKernel         0.06%      13.859ms        28.84%        6.618s       1.011ms       0.000us         0.00%        7.484s       1.143ms           0 b           0 b           0 b           0 b          6545  
                                          forward_run_4         0.00%     415.785us         7.08%        1.624s        1.624s       0.000us         0.00%        6.314s        6.314s           0 b           0 b           0 b      -8.78 Gb             1  
                                          forward_run_3         0.00%     421.951us         7.08%        1.624s        1.624s       0.000us         0.00%        6.313s        6.313s           0 b           0 b           0 b      -8.78 Gb             1  
                                          forward_run_2         0.00%     466.549us         7.08%        1.625s        1.625s       0.000us         0.00%        6.306s        6.306s           0 b           0 b           0 b      -8.78 Gb             1  
                                          forward_run_0         0.00%     429.597us         7.07%        1.622s        1.622s       0.000us         0.00%        6.296s        6.296s           0 b           0 b           0 b      -8.78 Gb             1  
                                          forward_run_1         0.00%     420.289us         7.07%        1.621s        1.621s       0.000us         0.00%        6.259s        6.259s           0 b           0 b           0 b      -8.78 Gb             1  
