-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                           aten::linear         0.02%     803.793us         2.99%     154.740ms     232.691us       0.000us         0.00%        2.881s       4.333ms           0 b           0 b      79.69 Gb           0 b           665  
                                           aten::matmul         0.02%     973.704us         1.20%      62.191ms      96.420us       0.000us         0.00%        2.813s       4.361ms           0 b           0 b      78.16 Gb           0 b           645  
                                               aten::mm         0.11%       5.527ms         1.16%      60.041ms      93.087us        2.396s        46.38%        2.813s       4.361ms           0 b           0 b      78.16 Gb      78.16 Gb           645  
         ampere_bf16_s16816gemm_bf16_128x64_ldg8_f2f_tn         0.00%       0.000us         0.00%       0.000us       0.000us        1.374s        26.59%        1.374s       4.293ms           0 b           0 b           0 b           0 b           320  
                                          forward_run_0         0.01%     425.553us         4.81%     248.923ms     248.923ms       0.000us         0.00%        1.192s        1.192s           0 b           0 b           0 b      -2.20 Gb             1  
                                          forward_run_1         0.01%     404.440us         4.80%     248.219ms     248.219ms       0.000us         0.00%        1.192s        1.192s           0 b           0 b           0 b      -2.20 Gb             1  
                                          forward_run_4         0.01%     377.451us         4.80%     248.408ms     248.408ms       0.000us         0.00%        1.145s        1.145s           0 b           0 b           0 b      -2.20 Gb             1  
                                          forward_run_3         0.01%     382.042us         4.80%     248.340ms     248.340ms       0.000us         0.00%        1.144s        1.144s           0 b           0 b           0 b      -2.20 Gb             1  
                                          forward_run_2         0.01%     371.980us         4.80%     248.014ms     248.014ms       0.000us         0.00%        1.144s        1.144s           0 b           0 b           0 b      -2.20 Gb             1  
                                          forward_run_4         0.00%       0.000us         0.00%       0.000us       0.000us        1.035s        20.03%        1.035s        1.035s           0 b           0 b           0 b           0 b             1  
