-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                           aten::linear         0.00%     742.890us         9.85%        4.240s       6.377ms       0.000us         0.00%       28.781s      43.280ms           0 b           0 b     637.50 Gb           0 b           665  
                                           aten::matmul         0.00%       1.027ms         9.65%        4.155s       6.442ms       0.000us         0.00%       28.140s      43.628ms           0 b           0 b     625.31 Gb           0 b           645  
                                               aten::mm         0.04%      15.538ms         9.64%        4.153s       6.439ms       19.443s        45.16%       28.140s      43.628ms           0 b           0 b     625.31 Gb     625.31 Gb           645  
                                    Command Buffer Full        34.50%       14.859s        34.50%       14.859s       7.147ms       20.405s        47.39%       20.405s       9.815ms           0 b           0 b           0 b           0 b          2079  
                                       cudaLaunchKernel         0.03%      13.224ms        20.91%        9.005s       1.477ms       0.000us         0.00%       14.544s       2.386ms           0 b           0 b           0 b           0 b          6095  
                                          forward_run_4         0.00%     494.895us         6.97%        3.001s        3.001s       0.000us         0.00%       11.929s       11.929s           0 b           0 b           0 b     -17.56 Gb             1  
                                          forward_run_2         0.00%     495.908us         6.97%        3.001s        3.001s       0.000us         0.00%       11.922s       11.922s           0 b           0 b           0 b     -17.56 Gb             1  
                                          forward_run_3         0.00%     502.268us         6.96%        2.999s        2.999s       0.000us         0.00%       11.919s       11.919s           0 b           0 b           0 b     -17.56 Gb             1  
                                          forward_run_0         0.00%     496.229us         6.96%        2.997s        2.997s       0.000us         0.00%       11.916s       11.916s           0 b           0 b           0 b     -17.56 Gb             1  
                                          forward_run_1         0.00%     506.261us         6.96%        2.998s        2.998s       0.000us         0.00%       11.903s       11.903s           0 b           0 b           0 b     -17.56 Gb             1  
