-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                                           aten::linear         0.02%     729.832us         4.06%     181.442ms     272.846us       0.000us         0.00%        2.943s       4.426ms           0 b           0 b      79.69 Gb           0 b           665
                                           aten::matmul         0.02%       1.028ms         3.90%     174.400ms     270.387us       0.000us         0.00%        2.884s       4.471ms           0 b           0 b      78.16 Gb           0 b           645
                                               aten::mm         0.13%       5.791ms         3.85%     172.209ms     266.991us        2.417s        54.11%        2.884s       4.471ms           0 b           0 b      78.16 Gb      78.16 Gb           645
         ampere_bf16_s16816gemm_bf16_128x64_ldg8_f2f_tn         0.00%       0.000us         0.00%       0.000us       0.000us        1.385s        31.01%        1.385s       4.328ms           0 b           0 b           0 b           0 b           320
                                          forward_run_0         0.01%     489.580us         3.96%     176.837ms     176.837ms       0.000us         0.00%     992.453ms     992.453ms           0 b           0 b           0 b      -2.20 Gb             1
                                          forward_run_1         0.01%     419.688us         3.95%     176.409ms     176.409ms       0.000us         0.00%     979.601ms     979.601ms           0 b           0 b           0 b      -2.20 Gb             1
                                          forward_run_4         0.01%     388.948us         3.94%     176.137ms     176.137ms       0.000us         0.00%     932.440ms     932.440ms           0 b           0 b           0 b      -2.20 Gb             1
                                          forward_run_3         0.01%     388.370us         3.95%     176.441ms     176.441ms       0.000us         0.00%     932.427ms     932.427ms           0 b           0 b           0 b      -2.20 Gb             1
                                          forward_run_2         0.01%     404.090us         3.94%     176.118ms     176.118ms       0.000us         0.00%     932.101ms     932.101ms           0 b           0 b           0 b      -2.20 Gb             1
                                          forward_run_4         0.00%       0.000us         0.00%       0.000us       0.000us     894.469ms        20.03%     894.469ms     894.469ms           0 b           0 b           0 b           0 b             1
