-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                                           aten::linear         0.02%     795.118us         3.00%     154.766ms     232.731us       0.000us         0.00%        2.885s       4.339ms           0 b           0 b      79.69 Gb           0 b           665
                                           aten::matmul         0.02%     943.724us         1.20%      61.999ms      96.122us       0.000us         0.00%        2.817s       4.367ms           0 b           0 b      78.16 Gb           0 b           645
                                               aten::mm         0.11%       5.665ms         1.16%      59.955ms      92.954us        2.399s        46.50%        2.817s       4.367ms           0 b           0 b      78.16 Gb      78.16 Gb           645
         ampere_bf16_s16816gemm_bf16_128x64_ldg8_f2f_tn         0.00%       0.000us         0.00%       0.000us       0.000us        1.375s        26.65%        1.375s       4.297ms           0 b           0 b           0 b           0 b           320
                                          forward_run_0         0.01%     423.879us         4.81%     248.342ms     248.342ms       0.000us         0.00%        1.193s        1.193s           0 b           0 b           0 b      -2.20 Gb             1
                                          forward_run_1         0.01%     493.876us         4.80%     247.908ms     247.908ms       0.000us         0.00%        1.149s        1.149s           0 b           0 b           0 b      -2.20 Gb             1
                                          forward_run_2         0.01%     387.389us         4.80%     247.766ms     247.766ms       0.000us         0.00%        1.140s        1.140s           0 b           0 b           0 b      -2.20 Gb             1
                                          forward_run_3         0.01%     391.708us         4.80%     247.733ms     247.733ms       0.000us         0.00%        1.140s        1.140s           0 b           0 b           0 b      -2.20 Gb             1
                                          forward_run_4         0.01%     383.490us         4.80%     247.780ms     247.780ms       0.000us         0.00%        1.140s        1.140s           0 b           0 b           0 b      -2.20 Gb             1
                                          forward_run_1         0.00%       0.000us         0.00%       0.000us       0.000us        1.033s        20.03%        1.033s        1.033s           0 b           0 b           0 b           0 b             1
                                          forward_run_2         0.00%       0.000us         0.00%       0.000us       0.000us        1.033s        20.02%        1.033s        1.033s           0 b           0 b           0 b           0 b             1
