-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                                           aten::linear         0.00%     689.070us         3.92%     897.365ms       1.349ms       0.000us         0.00%       13.884s      20.878ms           0 b           0 b     318.75 Gb           0 b           665
                                           aten::matmul         0.00%     947.948us         3.79%     867.102ms       1.344ms       0.000us         0.00%       13.563s      21.028ms           0 b           0 b     312.66 Gb           0 b           645
                                               aten::mm         0.04%       9.971ms         3.78%     864.952ms       1.341ms        9.648s        42.20%       13.563s      21.028ms           0 b           0 b     312.66 Gb     312.66 Gb           645
                                    Command Buffer Full        34.77%        7.952s        34.77%        7.952s       3.606ms       10.670s        46.67%       10.670s       4.839ms           0 b           0 b           0 b           0 b          2205
                                       cudaLaunchKernel         0.06%      13.718ms        27.51%        6.291s     988.429us       0.000us         0.00%        8.193s       1.287ms           0 b           0 b           0 b           0 b          6365
                                          forward_run_3         0.00%     489.715us         7.06%        1.615s        1.615s       0.000us         0.00%        6.375s        6.375s           0 b           0 b           0 b      -8.78 Gb             1
                                          forward_run_4         0.00%     500.725us         7.06%        1.614s        1.614s       0.000us         0.00%        6.372s        6.372s           0 b           0 b           0 b      -8.78 Gb             1
                                          forward_run_2         0.00%     458.652us         7.07%        1.616s        1.616s       0.000us         0.00%        6.371s        6.371s           0 b           0 b           0 b      -8.78 Gb             1
                                          forward_run_1         0.00%     493.148us         7.06%        1.615s        1.615s       0.000us         0.00%        6.368s        6.368s           0 b           0 b           0 b      -8.78 Gb             1
                                          forward_run_0         0.00%     487.318us         7.06%        1.614s        1.614s       0.000us         0.00%        6.367s        6.367s           0 b           0 b           0 b      -8.78 Gb             1
         ampere_bf16_s16816gemm_bf16_128x64_ldg8_f2f_tn         0.00%       0.000us         0.00%       0.000us       0.000us        5.505s        24.08%        5.505s      17.202ms           0 b           0 b           0 b           0 b           320
