-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                           aten::linear         0.01%     726.217us         7.32%     377.542ms     567.732us       0.000us         0.00%        2.942s       4.424ms           0 b           0 b      79.69 Gb           0 b           665  
                                           aten::matmul         0.02%     991.837us         7.05%     363.648ms     563.796us       0.000us         0.00%        2.881s       4.467ms           0 b           0 b      78.16 Gb           0 b           645  
                                               aten::mm         0.11%       5.723ms         7.01%     361.459ms     560.402us        2.414s        46.87%        2.881s       4.467ms           0 b           0 b      78.16 Gb      78.16 Gb           645  
         ampere_bf16_s16816gemm_bf16_128x64_ldg8_f2f_tn         0.00%       0.000us         0.00%       0.000us       0.000us        1.383s        26.86%        1.383s       4.323ms           0 b           0 b           0 b           0 b           320  
                                          forward_run_0         0.01%     438.925us         4.63%     238.499ms     238.499ms       0.000us         0.00%        1.195s        1.195s           0 b           0 b           0 b      -2.20 Gb             1  
                                          forward_run_1         0.01%     397.459us         4.62%     237.988ms     237.988ms       0.000us         0.00%        1.165s        1.165s           0 b           0 b           0 b      -2.20 Gb             1  
                                          forward_run_4         0.01%     403.303us         4.61%     237.912ms     237.912ms       0.000us         0.00%        1.136s        1.136s           0 b           0 b           0 b      -2.20 Gb             1  
                                          forward_run_2         0.01%     402.922us         4.61%     237.900ms     237.900ms       0.000us         0.00%        1.136s        1.136s           0 b           0 b           0 b      -2.20 Gb             1  
                                          forward_run_3         0.01%     398.331us         4.62%     238.004ms     238.004ms       0.000us         0.00%        1.136s        1.136s           0 b           0 b           0 b      -2.20 Gb             1  
                                          forward_run_4         0.00%       0.000us         0.00%       0.000us       0.000us        1.031s        20.02%        1.031s        1.031s           0 b           0 b           0 b           0 b             1  
